Episode,Reward
1,-13
2,0
3,-2
4,-16
5,-6
6,-53
7,-8
8,-34
9,-7
10,-15
11,-5
12,-4
13,-36
14,-2
15,-2
16,-2
17,-18
18,-4
19,-14
20,-11
21,0
22,-22
23,-12
24,-2
25,-1
26,-25
27,-5
28,-6
29,-3
30,-3
31,-22
32,-14
33,-6
34,0
35,-1
36,-2
37,0
38,-52
39,-1
40,1
41,0
42,-4
43,0
44,0
45,0
46,0
47,-2
48,-1
49,-6
50,-4
51,0
52,-4
53,-1
54,-10
55,-4
56,-6
57,-25
58,-4
59,0
60,-2
61,-6
62,-22
63,-8
64,0
65,-2
66,-3
67,0
68,-2
69,-6
70,-2
71,-5
72,0
73,-7
74,0
75,-5
76,-30
77,-9
78,-6
79,-8
80,-4
81,-5
82,-2
83,-2
84,0
85,-4
86,-26
87,-8
88,-5
89,-8
90,-2
91,-16
92,-6
93,-20
94,-1
95,-31
96,-8
97,-28
98,0
99,-4
100,-5
101,-3
102,-12
103,-4
104,-22
105,-7
106,0
107,-2
108,-1
109,-20
110,-20
111,0
112,-6
113,-10
114,-26
115,-1
116,-16
117,-2
118,-1
119,-2
120,-12
121,-6
122,-19
123,-8
124,-12
125,-6
126,-2
127,-17
128,-14
129,-11
130,0
131,-8
132,-8
133,-2
134,-1
135,-10
136,-2
137,-16
138,0
139,-40
140,-12
141,-8
142,0
143,-5
144,-3
145,-21
146,-4
147,-2
148,-2
149,-12
150,-27
151,-3
152,0
153,-7
154,-32
155,-4
156,-12
157,0
158,-77
159,-3
160,-1
161,-6
162,-3
163,-2
164,-2
165,-6
166,-10
167,-1
168,-4
169,-22
170,-54
171,0
172,0
173,0
174,0
175,0
176,-8
177,0
178,-4
179,-12
180,-22
181,-4
182,-2
183,-7
184,-8
185,-18
186,-2
187,-3
188,0
189,-19
190,-16
191,-5
192,-2
193,-6
194,-12
195,-2
196,-4
197,-8
198,-16
199,0
200,-10
201,-10
202,-5
203,-1
204,-28
205,-14
206,-7
207,-8
208,-2
209,-15
210,-2
211,-4
212,-2
213,-5
214,-2
215,-10
216,-7
217,-19
218,-18
219,-2
220,-5
221,-11
222,-22
223,-2
224,-5
225,-2
226,0
227,-16
228,-4
229,-13
230,-3
231,-9
232,-2
233,0
234,-5
235,0
236,-2
237,-1
238,0
239,-21
240,-28
241,-5
242,-2
243,-7
244,-6
245,-2
246,-2
247,0
248,-11
249,0
250,-20
251,-9
252,-10
253,-2
254,-2
255,0
256,-3
257,-1
258,-2
259,-14
260,-3
261,-22
262,-3
263,-26
264,-24
265,-20
266,-7
267,-7
268,-3
269,-8
270,-24
271,-21
272,-2
273,-4
274,-2
275,-3
276,-16
277,0
278,-8
279,-25
280,-12
281,0
282,-2
283,-7
284,-24
285,-2
286,-30
287,-5
288,-1
289,-6
290,-2
291,-1
292,-7
293,-20
294,-4
295,-2
296,-4
297,-16
298,-2
299,-20
300,-38
301,-14
302,-2
303,-2
304,-4
305,-6
306,0
307,-3
308,-36
309,0
310,-14
311,-8
312,-22
313,-3
314,-1
315,-6
316,-5
317,-2
318,-20
319,-23
320,-1
321,-8
322,-2
