Time,Reward
10,-18.9
20,-76.0
30,-60.0
40,-45.5
50,-5.0
60,-35.5
70,-32.5
80,-38.5
90,-16.5
100,-40.5
110,-7.0
120,-53.5
130,-3.6
140,-2.5
150,-9.0
160,-18.9
170,-37.0
180,-18.0
190,-22.0
200,-5.5
210,-13.5
220,-11.6
230,-51.5
240,-11.5
250,-26.5
260,-25.5
270,-24.5
280,-53.0
290,-40.5
300,-21.0
310,-31.1
320,-15.5
330,-32.0
340,-40.5
350,-19.5
360,-35.0
370,-30.0
380,-33.0
390,-18.5
400,-11.0
410,-28.4
420,-60.0
430,-29.0
440,-8.0
450,-41.0
460,-44.0
470,-90.0
480,-10.3
490,-13.7
500,-15.5
510,-77.0
520,0.0
530,-8.5
540,-37.0
550,-15.0
560,-25.0
570,-37.5
580,-14.0
590,-24.0
600,-29.0
610,-15.5
620,-57.5
630,-21.5
640,-9.0
650,-18.0
660,-27.5
670,-11.5
680,-16.0
690,-30.0
700,-5.0
710,-30.0
720,-14.5
730,-5.5
740,-2.5
750,-49.5
760,-15.5
770,-9.0
780,-11.5
790,-38.5
800,-4.0
810,-5.0
820,-34.0
830,-43.5
840,-50.5
850,-27.0
860,-30.0
870,-9.0
880,-17.6
890,-45.0
900,-5.5
910,-57.5
920,-14.0
930,-8.5
940,-28.0
950,-20.5
960,-59.5
970,-18.5
980,-9.5
990,-40.0
1000,-44.5
1010,-10.0
1020,-27.5
1030,-24.5
